,song,artist,date,explicit,uri_cancion,popularity,usuario,links,duracion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
38,Que Bonita la Vida,['Dani Martín'],2024-07-18T11:12:31Z,False,spotify:track:2WWLoX6L5TJ2xvm2DRcK6B,52,quesoymarmota,https://open.spotify.com/track/2WWLoX6L5TJ2xvm2DRcK6B,270653,0.506,0.535,7,-5.676,1,0.0314,0.301,5.08e-06,0.1,0.286,134.075,audio_features,2WWLoX6L5TJ2xvm2DRcK6B,spotify:track:2WWLoX6L5TJ2xvm2DRcK6B,https://api.spotify.com/v1/tracks/2WWLoX6L5TJ2xvm2DRcK6B,https://api.spotify.com/v1/audio-analysis/2WWLoX6L5TJ2xvm2DRcK6B,270653,4
39,Color Esperanza,['Diego Torres'],2024-07-18T11:12:57Z,False,spotify:track:3T07pNAEVr9adeIG9i1ex4,66,quesoymarmota,https://open.spotify.com/track/3T07pNAEVr9adeIG9i1ex4,267106,0.619,0.876,7,-6.253,1,0.0538,0.342,0.0,0.0828,0.772,100.962,audio_features,3T07pNAEVr9adeIG9i1ex4,spotify:track:3T07pNAEVr9adeIG9i1ex4,https://api.spotify.com/v1/tracks/3T07pNAEVr9adeIG9i1ex4,https://api.spotify.com/v1/audio-analysis/3T07pNAEVr9adeIG9i1ex4,267107,4
40,Bye Bye Bye,['No Resolve'],2024-07-18T11:13:38Z,False,spotify:track:2RdPXHHybIcO8VdIy38WMo,42,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/2RdPXHHybIcO8VdIy38WMo,203217,0.375,0.961,9,-2.713,0,0.117,0.000398,0.0,0.0436,0.477,172.444,audio_features,2RdPXHHybIcO8VdIy38WMo,spotify:track:2RdPXHHybIcO8VdIy38WMo,https://api.spotify.com/v1/tracks/2RdPXHHybIcO8VdIy38WMo,https://api.spotify.com/v1/audio-analysis/2RdPXHHybIcO8VdIy38WMo,203217,4
41,Antes Que Ver El Sol,"['Coti', 'Dani Martín']",2024-07-18T11:13:51Z,False,spotify:track:2xqNBP7kAqeZi96QISEGx4,55,quesoymarmota,https://open.spotify.com/track/2xqNBP7kAqeZi96QISEGx4,221626,0.675,0.679,9,-7.696,1,0.0309,0.0814,0.0,0.159,0.903,134.037,audio_features,2xqNBP7kAqeZi96QISEGx4,spotify:track:2xqNBP7kAqeZi96QISEGx4,https://api.spotify.com/v1/tracks/2xqNBP7kAqeZi96QISEGx4,https://api.spotify.com/v1/audio-analysis/2xqNBP7kAqeZi96QISEGx4,221627,4
42,Potra Salvaje - Hard Remix,"['Isabel Aaiún', 'Fernando Moreno']",2024-07-18T11:14:45Z,False,spotify:track:4gdpQ6zuDsePnD1YIDJCRw,79,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4gdpQ6zuDsePnD1YIDJCRw,342000,0.721,0.85,6,-4.186,1,0.31,0.118,3.63e-05,0.672,0.526,75.026,audio_features,4gdpQ6zuDsePnD1YIDJCRw,spotify:track:4gdpQ6zuDsePnD1YIDJCRw,https://api.spotify.com/v1/tracks/4gdpQ6zuDsePnD1YIDJCRw,https://api.spotify.com/v1/audio-analysis/4gdpQ6zuDsePnD1YIDJCRw,342000,4
43,Rosas,['La Oreja de Van Gogh'],2024-07-18T11:14:54Z,False,spotify:track:4waqcUQWdj0yH26STWl2Rq,80,quesoymarmota,https://open.spotify.com/track/4waqcUQWdj0yH26STWl2Rq,236506,0.783,0.685,9,-5.008,1,0.0271,0.627,3.49e-06,0.108,0.54,107.01,audio_features,4waqcUQWdj0yH26STWl2Rq,spotify:track:4waqcUQWdj0yH26STWl2Rq,https://api.spotify.com/v1/tracks/4waqcUQWdj0yH26STWl2Rq,https://api.spotify.com/v1/audio-analysis/4waqcUQWdj0yH26STWl2Rq,236333,4
44,Caminando por la Vida,"['Melendi', 'David Bisbal']",2024-07-18T11:15:14Z,False,spotify:track:5oCeOZ2D2QXZwy5RmWDaUR,53,quesoymarmota,https://open.spotify.com/track/5oCeOZ2D2QXZwy5RmWDaUR,207084,0.76,0.917,1,-5.511,1,0.112,0.313,0.0,0.112,0.881,108.023,audio_features,5oCeOZ2D2QXZwy5RmWDaUR,spotify:track:5oCeOZ2D2QXZwy5RmWDaUR,https://api.spotify.com/v1/tracks/5oCeOZ2D2QXZwy5RmWDaUR,https://api.spotify.com/v1/audio-analysis/5oCeOZ2D2QXZwy5RmWDaUR,207084,4
45,Tú Me Dejaste De Querer,"['C. Tangana', 'Niño de Elche', 'La Húngara']",2024-07-18T11:15:55Z,False,spotify:track:5ddFjrPG8NgQQ6xlOQIVd2,70,quesoymarmota,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2,198493,0.823,0.723,4,-4.778,0,0.229,0.311,0.00315,0.0998,0.505,83.97,audio_features,5ddFjrPG8NgQQ6xlOQIVd2,spotify:track:5ddFjrPG8NgQQ6xlOQIVd2,https://api.spotify.com/v1/tracks/5ddFjrPG8NgQQ6xlOQIVd2,https://api.spotify.com/v1/audio-analysis/5ddFjrPG8NgQQ6xlOQIVd2,198493,4
46,MALAMENTE - Cap.1: Augurio,['ROSALÍA'],2024-07-18T11:16:14Z,False,spotify:track:1B0BQaSRHxhI0AUlItY3LK,65,quesoymarmota,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK,150027,0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,audio_features,1B0BQaSRHxhI0AUlItY3LK,spotify:track:1B0BQaSRHxhI0AUlItY3LK,https://api.spotify.com/v1/tracks/1B0BQaSRHxhI0AUlItY3LK,https://api.spotify.com/v1/audio-analysis/1B0BQaSRHxhI0AUlItY3LK,150027,4
47,RATATATA,"['BABYMETAL', 'Electric Callboy']",2024-07-18T11:16:47Z,True,spotify:track:14WYmNQWvR2TTWoRp8t9Ml,76,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/14WYmNQWvR2TTWoRp8t9Ml,216428,0.559,0.889,5,-6.284,0,0.0669,0.000269,0.00118,0.083,0.666,140.047,audio_features,14WYmNQWvR2TTWoRp8t9Ml,spotify:track:14WYmNQWvR2TTWoRp8t9Ml,https://api.spotify.com/v1/tracks/14WYmNQWvR2TTWoRp8t9Ml,https://api.spotify.com/v1/audio-analysis/14WYmNQWvR2TTWoRp8t9Ml,216429,4
48,Dance The Night - From Barbie The Album,['Dua Lipa'],2024-07-18T11:17:39Z,False,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,84,divera,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA,176579,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,audio_features,1vYXt7VSjH9JIM5oRRo7vA,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,https://api.spotify.com/v1/tracks/1vYXt7VSjH9JIM5oRRo7vA,https://api.spotify.com/v1/audio-analysis/1vYXt7VSjH9JIM5oRRo7vA,176579,4
49,El Secreto de las Tortugas - Version 2010,['Maldita Nerea'],2024-07-18T11:17:54Z,False,spotify:track:5AYNOmMBFz451CcOo7NTcF,51,1118786026,https://open.spotify.com/track/5AYNOmMBFz451CcOo7NTcF,238440,0.547,0.884,1,-5.483,1,0.0457,0.106,9.56e-06,0.0715,0.886,169.954,audio_features,5AYNOmMBFz451CcOo7NTcF,spotify:track:5AYNOmMBFz451CcOo7NTcF,https://api.spotify.com/v1/tracks/5AYNOmMBFz451CcOo7NTcF,https://api.spotify.com/v1/audio-analysis/5AYNOmMBFz451CcOo7NTcF,238440,4
50,Throne,['Bring Me The Horizon'],2024-07-18T11:17:55Z,False,spotify:track:0M3adYbGtyRHACP86dey1H,77,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/0M3adYbGtyRHACP86dey1H,191520,0.426,0.888,0,-3.72,0,0.0987,0.000455,0.0,0.306,0.387,144.111,audio_features,0M3adYbGtyRHACP86dey1H,spotify:track:0M3adYbGtyRHACP86dey1H,https://api.spotify.com/v1/tracks/0M3adYbGtyRHACP86dey1H,https://api.spotify.com/v1/audio-analysis/0M3adYbGtyRHACP86dey1H,191520,4
51,Dog Days Are Over,['Florence + The Machine'],2024-07-18T11:18:28Z,False,spotify:track:456WNXWhDwYOSf5SpTuqxd,80,divera,https://open.spotify.com/track/456WNXWhDwYOSf5SpTuqxd,252818,0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,audio_features,456WNXWhDwYOSf5SpTuqxd,spotify:track:456WNXWhDwYOSf5SpTuqxd,https://api.spotify.com/v1/tracks/456WNXWhDwYOSf5SpTuqxd,https://api.spotify.com/v1/audio-analysis/456WNXWhDwYOSf5SpTuqxd,252819,4
52,Let Me Out,['Dover'],2024-07-18T11:19:01Z,False,spotify:track:22D8T98R2LL6PEC0LGrmYt,48,1118786026,https://open.spotify.com/track/22D8T98R2LL6PEC0LGrmYt,263093,0.646,0.855,10,-4.001,1,0.0302,0.000516,0.181,0.168,0.406,130.001,audio_features,22D8T98R2LL6PEC0LGrmYt,spotify:track:22D8T98R2LL6PEC0LGrmYt,https://api.spotify.com/v1/tracks/22D8T98R2LL6PEC0LGrmYt,https://api.spotify.com/v1/audio-analysis/22D8T98R2LL6PEC0LGrmYt,263093,4
53,Zombie,['The Cranberries'],2024-07-18T11:19:22Z,False,spotify:track:7EZC6E7UjZe63f1jRmkWxt,83,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/7EZC6E7UjZe63f1jRmkWxt,306440,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440,4
54,カリソメ乙女 - DEATH JAZZ ver.,"['Sheena Ringo', 'SOIL & “PIMP” SESSIONS']",2024-07-18T11:19:26Z,False,spotify:track:2M6Do3ldCBgbChvpxXhHfx,39,zevalle-es,https://open.spotify.com/track/2M6Do3ldCBgbChvpxXhHfx,149266,0.428,0.694,9,-4.982,1,0.0731,0.0519,1.84e-06,0.295,0.574,93.866,audio_features,2M6Do3ldCBgbChvpxXhHfx,spotify:track:2M6Do3ldCBgbChvpxXhHfx,https://api.spotify.com/v1/tracks/2M6Do3ldCBgbChvpxXhHfx,https://api.spotify.com/v1/audio-analysis/2M6Do3ldCBgbChvpxXhHfx,149267,4
55,Bad At Love,['Halsey'],2024-07-18T11:19:44Z,False,spotify:track:3OzCF9i6Ey7EkkAYJztmKp,71,divera,https://open.spotify.com/track/3OzCF9i6Ey7EkkAYJztmKp,181279,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,audio_features,3OzCF9i6Ey7EkkAYJztmKp,spotify:track:3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/tracks/3OzCF9i6Ey7EkkAYJztmKp,https://api.spotify.com/v1/audio-analysis/3OzCF9i6Ey7EkkAYJztmKp,181279,4
56,Eastside (with Halsey & Khalid),"['benny blanco', 'Halsey', 'Khalid']",2024-07-18T11:19:48Z,False,spotify:track:7FGq80cy8juXBCD2nrqdWU,77,divera,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,170769,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,audio_features,7FGq80cy8juXBCD2nrqdWU,spotify:track:7FGq80cy8juXBCD2nrqdWU,https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU,https://api.spotify.com/v1/audio-analysis/7FGq80cy8juXBCD2nrqdWU,170770,4
57,Strangers,"['Halsey', 'Lauren Jauregui']",2024-07-18T11:20:09Z,False,spotify:track:6uW5fyyosEMBKfg2W1ye1l,56,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/6uW5fyyosEMBKfg2W1ye1l,221205,0.69,0.784,11,-4.724,1,0.056,0.01,4.08e-05,0.22,0.284,109.969,audio_features,6uW5fyyosEMBKfg2W1ye1l,spotify:track:6uW5fyyosEMBKfg2W1ye1l,https://api.spotify.com/v1/tracks/6uW5fyyosEMBKfg2W1ye1l,https://api.spotify.com/v1/audio-analysis/6uW5fyyosEMBKfg2W1ye1l,221206,4
58,Piña,"['Snow Tha Product', 'Lauren Jauregui']",2024-07-18T11:20:15Z,True,spotify:track:27WpmDE56W905AhSoaNIkx,37,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/27WpmDE56W905AhSoaNIkx,144691,0.864,0.65,7,-7.775,0,0.135,0.144,0.0272,0.11,0.596,96.042,audio_features,27WpmDE56W905AhSoaNIkx,spotify:track:27WpmDE56W905AhSoaNIkx,https://api.spotify.com/v1/tracks/27WpmDE56W905AhSoaNIkx,https://api.spotify.com/v1/audio-analysis/27WpmDE56W905AhSoaNIkx,144691,4
59,I Really Want to Stay at Your House,"['Rosa Walton', 'Hallie Coggins']",2024-07-18T11:20:23Z,False,spotify:track:7mykoq6R3BArsSpNDjFQTm,73,divera,https://open.spotify.com/track/7mykoq6R3BArsSpNDjFQTm,246652,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,audio_features,7mykoq6R3BArsSpNDjFQTm,spotify:track:7mykoq6R3BArsSpNDjFQTm,https://api.spotify.com/v1/tracks/7mykoq6R3BArsSpNDjFQTm,https://api.spotify.com/v1/audio-analysis/7mykoq6R3BArsSpNDjFQTm,246653,4
60,Everlong,['Foo Fighters'],2024-07-18T11:20:58Z,False,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,84,divera,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,250546,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,audio_features,5UWwZ5lm5PKu6eKsHAGxOk,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk,250547,4
61,All The Small Things,['blink-182'],2024-07-18T11:23:48Z,False,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,84,1118786026,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,167066,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.685,148.708,audio_features,2m1hi0nfMR9vdGC8UcrnwU,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067,4
62,Mr. Brightside,['The Killers'],2024-07-18T11:24:02Z,False,spotify:track:003vvx7Niy0yvhvHt4a68B,87,1118786026,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,222973,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,audio_features,003vvx7Niy0yvhvHt4a68B,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4
63,Best of You,['Foo Fighters'],2024-07-18T11:24:18Z,False,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,75,1118786026,https://open.spotify.com/track/5FZxsHWIvUsmSK1IAvm2pp,255626,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,audio_features,5FZxsHWIvUsmSK1IAvm2pp,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,https://api.spotify.com/v1/tracks/5FZxsHWIvUsmSK1IAvm2pp,https://api.spotify.com/v1/audio-analysis/5FZxsHWIvUsmSK1IAvm2pp,255627,4
64,Two Princes,['Spin Doctors'],2024-07-18T11:24:31Z,False,spotify:track:0cuq829zRNq4AEdmDJA4aw,73,1118786026,https://open.spotify.com/track/0cuq829zRNq4AEdmDJA4aw,256946,0.544,0.905,7,-10.732,1,0.0646,0.00165,1.97e-06,0.0532,0.825,103.594,audio_features,0cuq829zRNq4AEdmDJA4aw,spotify:track:0cuq829zRNq4AEdmDJA4aw,https://api.spotify.com/v1/tracks/0cuq829zRNq4AEdmDJA4aw,https://api.spotify.com/v1/audio-analysis/0cuq829zRNq4AEdmDJA4aw,256947,4
65,What Could Have Been (from the series Arcane League of Legends),"['Sting', 'Ray Chen']",2024-07-18T11:24:59Z,False,spotify:track:6YB9jhzVEzw8CKeXD7Vx8j,32,divera,https://open.spotify.com/track/6YB9jhzVEzw8CKeXD7Vx8j,213474,0.44,0.288,5,-8.897,0,0.0386,0.576,0.00128,0.0802,0.176,110.18,audio_features,6YB9jhzVEzw8CKeXD7Vx8j,spotify:track:6YB9jhzVEzw8CKeXD7Vx8j,https://api.spotify.com/v1/tracks/6YB9jhzVEzw8CKeXD7Vx8j,https://api.spotify.com/v1/audio-analysis/6YB9jhzVEzw8CKeXD7Vx8j,213474,3
66,All Star,['Smash Mouth'],2024-07-18T11:25:24Z,False,spotify:track:3cfOd4CMv2snFaKAnMdnvK,80,1118786026,https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK,200373,0.731,0.867,11,-5.881,1,0.032,0.0394,0.0,0.0861,0.776,104.02,audio_features,3cfOd4CMv2snFaKAnMdnvK,spotify:track:3cfOd4CMv2snFaKAnMdnvK,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK,https://api.spotify.com/v1/audio-analysis/3cfOd4CMv2snFaKAnMdnvK,200373,4
67,Livin' On A Prayer,['Bon Jovi'],2024-07-18T11:25:57Z,False,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,85,1118786026,https://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF,249293,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,audio_features,37ZJ0p5Jm13JPevGcx4SkF,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,249293,4
68,Viva La Vida,['Coldplay'],2024-07-18T11:26:41Z,False,spotify:track:1mea3bSkSGXuIRvnydlB5b,88,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,242373,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,audio_features,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,242373,4
69,That's My Girl,['Fifth Harmony'],2024-07-18T11:27:46Z,False,spotify:track:2ACOWPLUe4A4KuQ5ioD2od,71,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/2ACOWPLUe4A4KuQ5ioD2od,204013,0.596,0.851,5,-4.245,0,0.121,0.0358,3.19e-05,0.365,0.612,202.049,audio_features,2ACOWPLUe4A4KuQ5ioD2od,spotify:track:2ACOWPLUe4A4KuQ5ioD2od,https://api.spotify.com/v1/tracks/2ACOWPLUe4A4KuQ5ioD2od,https://api.spotify.com/v1/audio-analysis/2ACOWPLUe4A4KuQ5ioD2od,204013,4
70,Superman,['Goldfinger'],2024-07-18T11:27:53Z,False,spotify:track:6cL7NCFSvqWrBH5r4mkvVV,52,1118786026,https://open.spotify.com/track/6cL7NCFSvqWrBH5r4mkvVV,185600,0.436,0.935,2,-3.946,1,0.0538,0.000129,0.000141,0.0821,0.901,194.902,audio_features,6cL7NCFSvqWrBH5r4mkvVV,spotify:track:6cL7NCFSvqWrBH5r4mkvVV,https://api.spotify.com/v1/tracks/6cL7NCFSvqWrBH5r4mkvVV,https://api.spotify.com/v1/audio-analysis/6cL7NCFSvqWrBH5r4mkvVV,185600,4
71,99 Red Balloons,['Goldfinger'],2024-07-18T11:28:14Z,False,spotify:track:0rOTMSSa6yscfOrGnzfheM,60,1118786026,https://open.spotify.com/track/0rOTMSSa6yscfOrGnzfheM,229173,0.285,0.843,4,-7.318,1,0.129,0.00103,0.00037,0.327,0.282,97.051,audio_features,0rOTMSSa6yscfOrGnzfheM,spotify:track:0rOTMSSa6yscfOrGnzfheM,https://api.spotify.com/v1/tracks/0rOTMSSa6yscfOrGnzfheM,https://api.spotify.com/v1/audio-analysis/0rOTMSSa6yscfOrGnzfheM,229173,4
72,Song 2 - 2012 Remaster,['Blur'],2024-07-18T11:29:31Z,False,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,79,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/1FTSo4v6BOZH9QxKc3MbVM,121160,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,audio_features,1FTSo4v6BOZH9QxKc3MbVM,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,https://api.spotify.com/v1/audio-analysis/1FTSo4v6BOZH9QxKc3MbVM,121160,4
73,Tear Me to Pieces,['Story Of The Year'],2024-07-19T15:29:25Z,True,spotify:track:4o8iQ9HKmZP0D7eRcTnW0g,53,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/4o8iQ9HKmZP0D7eRcTnW0g,176805,0.299,0.906,11,-4.714,0,0.11,0.000929,0.0,0.359,0.519,128.106,audio_features,4o8iQ9HKmZP0D7eRcTnW0g,spotify:track:4o8iQ9HKmZP0D7eRcTnW0g,https://api.spotify.com/v1/tracks/4o8iQ9HKmZP0D7eRcTnW0g,https://api.spotify.com/v1/audio-analysis/4o8iQ9HKmZP0D7eRcTnW0g,176805,4
74,Monsters (feat. blackbear),"['All Time Low', 'blackbear']",2024-07-19T15:31:17Z,True,spotify:track:0tyR7Bu9P086aWBFZ4QJoo,68,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/0tyR7Bu9P086aWBFZ4QJoo,174067,0.369,0.845,0,-3.449,0,0.0611,0.0493,0.0,0.416,0.782,78.532,audio_features,0tyR7Bu9P086aWBFZ4QJoo,spotify:track:0tyR7Bu9P086aWBFZ4QJoo,https://api.spotify.com/v1/tracks/0tyR7Bu9P086aWBFZ4QJoo,https://api.spotify.com/v1/audio-analysis/0tyR7Bu9P086aWBFZ4QJoo,174068,4
75,My Universe,"['Coldplay', 'BTS']",2024-07-19T15:32:27Z,False,spotify:track:46HNZY1i7O6jwTA7Slo2PI,76,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,226198,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,audio_features,46HNZY1i7O6jwTA7Slo2PI,spotify:track:46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/tracks/46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/audio-analysis/46HNZY1i7O6jwTA7Slo2PI,226198,4
76,"Dance, Dance",['Fall Out Boy'],2024-07-19T15:32:50Z,False,spotify:track:0a7BloCiNzLDD9qSQHh5m7,77,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/0a7BloCiNzLDD9qSQHh5m7,180266,0.621,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.451,audio_features,0a7BloCiNzLDD9qSQHh5m7,spotify:track:0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/tracks/0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/audio-analysis/0a7BloCiNzLDD9qSQHh5m7,180267,4
77,Buscando El Sol,['David Otero'],2024-07-19T15:35:32Z,False,spotify:track:3RFbAyuoyMu8ErN9PVspER,44,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/3RFbAyuoyMu8ErN9PVspER,254440,0.493,0.936,7,-3.267,1,0.0538,7.68e-05,0.00127,0.193,0.555,162.044,audio_features,3RFbAyuoyMu8ErN9PVspER,spotify:track:3RFbAyuoyMu8ErN9PVspER,https://api.spotify.com/v1/tracks/3RFbAyuoyMu8ErN9PVspER,https://api.spotify.com/v1/audio-analysis/3RFbAyuoyMu8ErN9PVspER,254440,4
